Category,Test Name,Test Description,Units,Gender,Min Reference Range,Max Reference Range,Age Min,Min Age Unit,Age Max,Max Age Unit,Remarks,ReportJson,ReferenceRanges
HAEMATOLOGY,ABSOLUTE LYMPHOCYTE COUNT,ABSOLUTE LYMPHOCYTE COUNT,per microlitre,M/F,1000,4800,0,YEARS,100,YEARS,,,
HAEMATOLOGY,ABSOLUTE NEUTROPHIL COUNT,ABSOLUTE NEUTROPHIL COUNT,Cells/Cumm,M/F,2000,7000,0,YEARS,100,YEARS,,,
HAEMATOLOGY,ACTIVE PARTIAL THROMBOPLASTIN TIME (APTT),ACTIVE PARTIAL THROMBOPLASTIN TIME (APTT),seconds,M/F,22,34,0,YEARS,100,YEARS,,,
HAEMATOLOGY,AEC,EOSINOPHIL COUNT,cells/cumm,M/F,40,400,0,YEARS,100,YEARS,,,
HAEMATOLOGY,AEC,TOTAL COUNT,cells/cumm,M/F,4000,11000,0,YEARS,100,YEARS,,,
HAEMATOLOGY,AEC,ABSOLUTE EOSINOPHIL COUNT,cells/cumm,M/F,40,400,0,YEARS,100,YEARS,,,
HAEMATOLOGY,ANTI MULLERIAN HORMONE(AMH),ANTI MULLERIAN HORMONE/MULLERIAN INHIBITING SUBSTANCE,ng/mL,M/F,2.02,6.7,0,YEARS,100,YEARS,,,
HAEMATOLOGY,BLOOD GROUP & RH TYPE,DROPDOWN,N/A,M/F,,,0,YEARS,100,YEARS,,,
HAEMATOLOGY,BLOOD PICTURE,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,,,
HAEMATOLOGY,BONE MARROW,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,,,
HAEMATOLOGY,BT,BLEEDING TIME,min,M/F,2,6,0,YEARS,100,YEARS,,,
HAEMATOLOGY,"BT, CT",BLEEDING TIME,min,M/F,2,6,0,YEARS,100,YEARS,,,
HAEMATOLOGY,CA-19.9,CA-19.9,U/mL,M/F,0,37,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),HAEMOGLOBIN,gm/dl,M,13.5,18,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),HAEMOGLOBIN,gm/dl,F,12,16,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),TOTAL COUNT/ W.B.C,cells/cumm,M/F,4000,11000,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),NEUTROPHILS,%,M/F,40,70,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),LYMPHOCYTES,%,M/F,20,40,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),EOSINOPHILS,%,M/F,0,8,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),MONOCYTES,%,M/F,0,10,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),BASOPHILS,%,M/F,0,1,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),PLATELET COUNT,Lakhs/cumm,M/F,1.5,4.5,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),R.B.C,mill/cumm,M/F,3.5,5.5,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),P.C.V,%,M/F,36,48,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),M.C.V,fl,M/F,80,99,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),M.C.H,pg,M/F,26,32,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),M.C.H.C,%,M/F,32,36,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE HAEMOGRAM,HAEMOGLOBIN,gm/dl,M,13.5,18,0,YEARS,100,YEARS,,,
